date,title,description,format,recording_available
2023-12-05,OpenD/I Summit on Open Data and Open Infrastructures,"OpenD/I Summit is online from Dec 5th-8th. MotherDuck co-founder Ryan Boyd will present on ""Data Analytics in the Post-Big-Data Era.""",Online,NO
2023-12-06,move(data) by Airbyte: Fixing the Data Engineering Lifecycle.,"move(data) by Airbyte takes place online Dec 6th and Dec 7th. Ryan Boyd of MotherDuck will give a talk on Fixing the Data Engineering Lifecycle, which encourages using the same database in dev/staging/prod.",Online,NO
2023-12-12,OSA Con 23: What the Duck?,"Talk by MotherDuck CEO Jordan Tigani on DuckDB use cases, syntax, connectors, architecture, and features that make it more than just another query engine.",Online,NO
2023-12-13,OSA Con 23: An overview of DuckDB,Talk by Gabor Szarnyas : overview of DuckDB.,Online,NO
2023-12-14,PyData Stockholm | DuckDB: Transforming Data Management and Analytics,"Max from DuckDB labs will introduce DuckDB, an innovative embedded data management system optimized for analytical SQL workloads",In Person,NO
2023-12-20,Friendlier SQL with DuckDB,"Get ready for an engaging, interactive session exploring SQL & DuckDB with Mehdi Ouazza & Alex Monahan! We'll explore SQL's history and its future role in data, then transition to a hands-on coding session with DuckDB. Let's Quack&Code!",Online,NO
2024-01-16,CIDR Paper Presentation: DuckDB in the cloud and in the client,MotherDuck's Peter Boncz presents a collaborative paper on hybrid query processing and how it opens the door to new types of low-latency applications.,In Person,NO
2024-01-18,The Power of WASM for Analytics: DuckDB in the Browser,"Join us live for an engaging, interactive session where we'll explore WASM use cases for analytics and DuckDB with Mehdi Ouazza and Christophe Blefari!",Online,NO
2024-01-23,DuckDB meetup Dublin,"Join us for an exciting in-person DuckDB meetup 🐥 at TechMeetup.space in Dublin City Centre on January 23, 2024, from 6:30 PM to 9:00 PM! We'll have two engaging talks, networking opportunities with industry experts, and SWAG for attendees.",In Person,NO
2024-01-27,An abridged history of DuckDB: database tech from Amsterdam,"In this session at Data Day Texas, Peter Boncz will discuss the evolution of analytical database systems, starting from the classical relational database systems, all the way to DuckDB - the fastest growing data system today. Discount code: MOTHERDUCK.",In Person,NO
2024-01-31,"SQL IDE Safari : Harlequin, in your terminal",Join us to discuss SQL IDE through an hands-on session!,Online,NO
2024-02-02,DuckCon #4 by DuckDB Labs and Foundation,"User group meeting with talks from the DuckDB Creators, Hugging Face, Fivetran, DataCamp, dbt, Liverpool FC and more.",In Person,NO
2024-02-14,DuckDB + Streamlit : Crafting Dynamic Dashboards and Data Apps,Join Mehdi & Chanin for an hands-on session around Streamlit and DuckDB!,Online,NO
2024-03-07,DataTune Nashville 2024,"DataTune Nashville will occur March 7-8, 2024, at Belmont University in Nashville, TN. David Neal of MotherDuck will present ""Hybrid Queries: The Future of Data Analytics.""",In Person,NO
2024-03-13,MotherDuck / DuckDB User Meetup [FR March 2023 Edition] #4,"MotherDuck, en collaboration avec Back Market, est heureuse d'annoncer notre 4eme rencontre en personne des groupes d'utilisateurs DuckDB en France, à Paris pour parler de DuckDB, MotherDuck et de tout ce qui concerne les données!",In Person,NO
2024-03-25,Data Council Pre-Party: Hosted by Cube and MotherDuck,"Join fellow data practitioners ahead of the Data Council Austin conference for a low-key happy hour with an open bar and free food. (did someone say ""free"" and ""food?"")",In Person,NO
2024-03-27,Spatial Data Management with DuckDB ft. MattForrest,"In this episode, we'll dive into Geo data use cases with DuckDB and explore the spatial extension. Get ready for some quack... and code.",Online,YES
2024-03-27,Unfinished Business: Re-inventing 'modern' data tools,"Join Jordan Tigani (ex-BigQuery) and Colin Zima (ex-Looker) for a quackingly candid discussion about what the last generation of data tools got right and wrong, and why they both think they can build something even better this time.",Online,YES
2024-03-28,Cloud Infra NYC March Meetup: Hosted by Vantage,"​​Join us for an informal meetup and speaker talk with the NYC cloud infrastructure community, pizza and beer included. This month's talk features Elena Felder from MotherDuck, the company taking DuckDB to the cloud.",In Person,NO
2024-04-04,Take Flight with dbt and DuckDB on Paradime,Slash your analytics development costs with the DuckDB and MotherDuck integrations offered by paradime.io. Paradime provides a dbt environment for development which you can use with DuckDB for free.,Online,YES
2024-04-10,Data Universe Conference,"Ryan Boyd, co-founder at MotherDuck, will present a talk on ""Data Infrastructure Through the Lens of Scale, Performance, and Usability."" Nick Ursa, Founding Engineer, will also be on a panel about ""Building the Big Data Backbone.""",In Person,NO
2024-04-10,Happy Hour with Data Universe Friends,"Join us for happy hour at Data Universe. Come talk about data, semantic layers, AI, and more with the Data Dream Team!",In Person,NO
2024-04-10,DuckDB behind the magic : Parsing the Unparseable CSVs,"In this Quack&Code episode, hear from Pedro Holanda, who works directly on DuckDB's CSV parser! We'll take a peek behind the curtain and learn more about what DuckDB is doing to save us all from CSV hell.",Online,NO
2024-04-12,MDS Fest 2.0 - Beyond the cloud: the future of analytics in the hybrid era,Join Mehdi Ouazza for a talk on how hardware improvements have made our local computing capabilities far more powerful than when the cloud first emerged. We'll discuss use cases powered by WebAssembly (WASM) running in the browser and in the cloud.,Online,NO
2024-04-16,Hasura Dev Day Panel: It's all About the Data,"Join us for Hasura's upcoming Dev Day! Hear from MotherDuck Co-founder, Tino Tereshko, about our forthcoming launch of the MotherDuck connector to enable a GraphQL interface for your analytics data warehouse.",Online,NO
2024-04-18,"Local Dev, Cloud Prod with Dagster and MotherDuck","When building data pipelines, transitioning from local development to production can sometimes be difficult. Join Dagster and MotherDuck for a masterclass and demo on developing locally and shipping to production with confidence!",Online,YES
2024-04-23,ODSC Data Engineering Summit,"Ryan Boyd, co-founder at MotherDuck, will present a talk on data infrastructure trends around scale, performance and usability.",In Person,NO
